id,element_in,element_out,entry,event,kind,result,web_name_x,web_name_y,total_points_in,total_points_out
273,291,200,324701,14,w,a,Faes,Guéhi,2.0,7.0
274,241,26,228518,14,f,a,Bassey,Alex Moreno,3.0,1.0
275,44,189,289293,14,f,a,Konsa,W.Fofana,10.0,0.0
276,257,88,289293,14,f,a,Tete,Collins,5.0,7.0
277,274,611,289293,14,f,a,Hutchinson,Szmodics,4.0,2.0
278,587,434,289293,14,f,a,Summerville,Hudson-Odoi,6.0,5.0
279,585,587,289293,14,f,a,I.Sarr,Summerville,4.0,6.0
280,635,230,324701,15,w,a,El Khannouss,McNeil,2.0,0.0
281,70,236,324701,15,w,di,Kerkez,Tarkowski,2.0,0.0
282,394,117,324701,15,w,a,Bruno G.,Buonanotte,2.0,0.0
283,70,267,184679,15,w,a,Kerkez,Davis,2.0,1.0
284,177,71,228518,15,w,di,Madueke,Kluivert,1.0,2.0
285,152,201,228518,15,w,a,Arrizabalaga,Henderson,3.0,1.0
286,346,585,289293,15,w,a,Doku,I.Sarr,1.0,2.0
287,83,274,289293,15,w,a,Tavernier,Hutchinson,2.0,2.0
288,259,274,289293,15,w,do,Wilson,Hutchinson,1.0,2.0
289,106,585,289293,15,w,do,Schade,I.Sarr,6.0,2.0
290,259,585,289293,15,w,do,Wilson,I.Sarr,1.0,2.0
291,177,274,289293,15,w,di,Madueke,Hutchinson,1.0,2.0
292,152,488,289293,15,w,di,Arrizabalaga,Forster,3.0,1.0
293,524,257,289293,15,w,a,Kilman,Tete,2.0,5.0
294,70,257,289293,15,w,di,Kerkez,Tete,2.0,5.0
295,104,257,289293,15,w,do,Pinnock,Tete,1.0,5.0
296,177,323,184585,15,w,di,Madueke,Gravenberch,1.0,0.0
297,38,512,184585,15,w,a,Duran,Antonio,8.0,0.0
298,177,298,317751,15,w,a,Madueke,Mavididi,1.0,1.0
299,574,241,228518,15,f,a,Milenković,Bassey,7.0,1.0
300,168,71,228518,15,f,a,Enzo,Kluivert,9.0,2.0
301,88,291,324701,15,f,a,Collins,Faes,7.0,1.0
302,572,88,324701,15,f,a,Yoro,Collins,1.0,7.0
303,358,508,318371,15,f,a,Ortega Moreno,Vicario,1.0,0.0
304,530,323,184585,15,f,a,Souček,Gravenberch,9.0,0.0
305,251,232,184585,15,f,a,Muniz,Ndiaye,1.0,0.0
